X,Y
-107683.0248,3002007.599
-110561.1393,2995341.196
-112676.5491,2988358.451
-113671.0535,2986100.242
-117630.783,2980315.759
-119504.8908,2977958.015
-118635.149,2975420.896
-117773.2636,2974077.741
-115840.9379,2970050.717
-115417.7739,2968194.136
-116590.0587,2954594.727
-116494.9678,2952428.539
-115856.3229,2950362.304
-116893.94,2923110.961
-117783.1221,2919498.242
-118126.4246,2916502.099
-125207.7079,2909505.305
-128042.6792,2905897.802
-126855.2098,2905271.554
-125659.8066,2906093.661
-116180.8425,2915768.135
-115267.5009,2923205.645
-114708.5884,2925889.242
-113795.1641,2950041.768
-114758.6485,2952213.023
-114846.2688,2955513.515
-114176.6818,2958293.724
-113236.0512,2969315.61
-116780.2218,2976338.054
-116661.7564,2977881.875
-115852.1317,2979874.959
-111168.1734,2985983.587
-107825.3872,2997176.547
-105348.1362,2999994.364
-44410.88967,2981299.86
-41593.89315,2977822.947
-33629.83449,2970531.564
-27943.18428,2964288.133
-25708.26253,2960449.802
-22827.95448,2956190.399
-21235.35285,2953284.786
-19443.43103,2949035.027
-17870.95192,2944683.178
-15774.40749,2938981.684
-14735.55322,2935458.917
-19967.75841,2916507.681
-20089.24712,2915475.099
-19791.95503,2913300.065
-19307.22716,2908846.84
-19020.76123,2905843.201
-18851.90243,2902115.86
-18151.4372,2897656.697
-17874.72422,2893926.009
-16128.49165,2886758.521
-16396.92475,2882720.595
-16396.92475,2882720.595
-18244.91909,2881913.266
-26027.70619,2881898.802
-46376.91714,2876528.248
-57332.01624,2864693.519
-126855.2098,2905271.554
-123456.0644,2903341.155
-120787.1256,2901620.428
-118108.4749,2901606.698
-116057.6756,2901143.32
-110955.7214,2896531.369
-126855.2098,2905271.554
-126058.5673,2902499.868
-121612.3795,2899295.821
-118205.601,2898967.925
-112551.0876,2894822.301
-126855.2098,2905271.554
-129465.1118,2903058.777
-137279.4173,2898667.33
-139809.4623,2895571.515
-143316.2751,2891468.491
-144138.3902,2888908.051
-126058.5673,2902499.868
-133057.3644,2899038.139
-130801.0586,2895922.79
-130404.6608,2894135.024
-132270.2721,2894220.82
-134931.9948,2897415.633
-140799.5672,2891925.275
-143329.3804,2888439.052
-144138.3902,2888908.051
-155789.3346,2896944.134
-147962.9596,2905924.173
-138557.9972,2902941.578
